SetID,State,Monthly Net Income,Paycheck Net Income,Rent or Own,Months at Residence,Bank Account Months,Pay Cycle,Loan Amount,Loan Funded Date,Loan Due Date,Duration,FPD,FPDEF
68,CA,"$4,000.00 ","$2,000.00 ",R,12,6,BiWeekly,$117.65 ,4/8/2018,4/23/2018,15,TRUE,1
260,CA,"$2,000.00 ","$2,000.00 ",R,60,36,Monthly,$235.30 ,4/3/2018,5/3/2018,30,FALSE,0
1544,CA,"$1,800.00 ",$450.00 ,R,40,36,Weekly,$117.65 ,2/22/2018,3/2/2018,8,FALSE,0
44,CA,"$6,000.00 ","$6,000.00 ",R,60,60,Monthly,$300.00 ,4/12/2018,4/30/2018,18,FALSE,0
351,TX,"$4,500.00 ","$4,500.00 ",R,24,24,Monthly,$515.28 ,4/1/2018,5/1/2018,30,FALSE,0
1175,CA,"$3,286.00 ","$1,643.00 ",R,12,36,BiWeekly,$300.00 ,3/2/2018,3/16/2018,14,FALSE,0
887,TX,"$10,000.00 ","$5,000.00 ",R,60,9,BiWeekly,$256.49 ,3/14/2018,3/23/2018,9,FALSE,0
1401,CA,"$2,024.00 ","$1,012.00 ",O,225,30,BiWeekly,$300.00 ,2/22/2018,3/2/2018,8,TRUE,1
1840,TX,"$9,000.00 ","$4,500.00 ",R,242,62,BiMonthly,$385.31 ,2/6/2018,2/22/2018,16,FALSE,0
1069,CA,"$5,000.00 ","$5,000.00 ",O,108,6,Monthly,$117.65 ,3/7/2018,4/3/2018,27,FALSE,0
1546,CA,"$2,000.00 ","$1,000.00 ",R,29,30,BiWeekly,$235.30 ,2/15/2018,2/23/2018,8,FALSE,0
220,CA,"$4,600.00 ","$2,300.00 ",R,48,30,BiMonthly,$235.30 ,4/4/2018,4/24/2018,20,TRUE,1
33,CA,"$7,134.00 ","$3,567.00 ",R,38,36,BiWeekly,$300.00 ,4/9/2018,4/20/2018,11,FALSE,0
1064,TX,"$6,500.00 ","$6,500.00 ",R,12,9,Monthly,$641.91 ,3/7/2018,3/21/2018,14,FALSE,0
954,CA,"$1,429.00 ","$1,429.00 ",R,132,36,Monthly,$300.00 ,3/12/2018,4/3/2018,22,FALSE,0
579,TX,"$3,000.00 ","$1,500.00 ",R,12,6,BiWeekly,$641.78 ,3/26/2018,4/6/2018,11,TRUE,1
1313,CA,"$1,084.00 ",$542.00 ,R,120,15,BiWeekly,$300.00 ,2/26/2018,3/19/2018,21,TRUE,1
1374,CA,"$2,800.00 ","$1,400.00 ",R,88,36,BiWeekly,$300.00 ,2/24/2018,3/9/2018,13,FALSE,0
1235,CA,"$1,500.00 ","$1,500.00 ",R,172,36,Monthly,$300.00 ,2/28/2018,3/28/2018,28,FALSE,0
1371,CA,"$2,100.00 ","$2,100.00 ",R,80,40,Monthly,$235.30 ,2/24/2018,3/27/2018,31,FALSE,0
1459,CA,"$1,714.00 ",$857.00 ,R,42,36,BiMonthly,$300.00 ,2/21/2018,3/6/2018,13,TRUE,1
1977,CA,"$2,530.00 ","$1,265.00 ",R,28,12,BiWeekly,$300.00 ,1/31/2018,2/9/2018,9,FALSE,0
303,CA,"$2,120.00 ","$1,060.00 ",R,27,36,BiWeekly,$300.00 ,4/2/2018,4/20/2018,18,TRUE,1
1800,CA,"$8,000.00 ","$4,000.00 ",R,12,12,BiMonthly,$235.30 ,2/8/2018,2/22/2018,14,FALSE,0
1311,TX,"$12,000.00 ","$6,000.00 ",R,60,36,BiWeekly,$641.50 ,2/26/2018,3/9/2018,11,FALSE,0
1641,CA,$928.00 ,$464.00 ,R,12,12,BiWeekly,$294.12 ,2/14/2018,3/2/2018,16,FALSE,0
608,CA,"$3,500.00 ","$1,750.00 ",R,60,36,BiWeekly,$235.30 ,3/23/2018,4/13/2018,21,FALSE,0
522,TX,"$2,500.00 ","$1,250.00 ",R,108,6,BiWeekly,$384.90 ,3/26/2018,4/6/2018,11,TRUE,1
134,CA,"$1,900.00 ",$950.00 ,R,26,3,BiWeekly,$235.30 ,4/6/2018,4/20/2018,14,FALSE,0
243,CA,"$1,037.00 ","$1,037.00 ",R,38,15,Monthly,$300.00 ,4/6/2018,4/20/2018,14,FALSE,0
1858,CA,"$1,958.00 ",$979.00 ,R,39,36,BiWeekly,$300.00 ,2/6/2018,2/16/2018,10,FALSE,0
512,CA,"$1,760.00 ",$880.00 ,R,252,3,BiMonthly,$117.65 ,3/27/2018,4/13/2018,17,FALSE,0
751,CA,"$2,000.00 ","$2,000.00 ",R,12,6,Monthly,$117.65 ,3/19/2018,4/2/2018,14,TRUE,1
1673,CA,$940.00 ,$470.00 ,R,27,30,BiMonthly,$294.12 ,2/13/2018,2/22/2018,9,FALSE,0
930,TX,"$1,440.00 ",$720.00 ,R,13,6,BiMonthly,$417.69 ,3/28/2018,4/16/2018,19,TRUE,1
1197,CA,"$1,892.00 ",$946.00 ,R,36,15,BiWeekly,$300.00 ,3/1/2018,3/14/2018,13,TRUE,1
1340,CA,"$4,800.00 ","$1,200.00 ",R,39,30,Weekly,$300.00 ,2/26/2018,3/9/2018,11,FALSE,0
147,CA,"$2,600.00 ","$1,300.00 ",R,287,30,BiWeekly,$300.00 ,4/6/2018,4/19/2018,13,FALSE,0
1473,CA,"$1,000.00 ","$1,000.00 ",R,12,6,Monthly,$117.65 ,2/21/2018,3/20/2018,27,FALSE,0
971,CA,"$3,334.00 ","$1,667.00 ",R,121,36,BiWeekly,$300.00 ,3/11/2018,3/23/2018,12,FALSE,0
1755,CA,"$3,000.00 ","$3,000.00 ",R,12,12,Monthly,$235.30 ,2/12/2018,2/28/2018,16,FALSE,0
1702,CA,"$3,625.00 ","$3,625.00 ",R,60,60,Monthly,$117.65 ,2/12/2018,3/2/2018,18,FALSE,0
396,TX,"$2,000.00 ","$2,000.00 ",R,12,12,Monthly,$128.54 ,3/29/2018,4/18/2018,20,FALSE,0
1461,TX,"$30,000.00 ","$15,000.00 ",R,36,6,BiMonthly,$640.95 ,2/21/2018,2/28/2018,7,FALSE,0
1020,TX,"$13,000.00 ","$6,500.00 ",R,36,30,BiWeekly,$641.09 ,3/9/2018,3/16/2018,7,FALSE,0
302,TX,"$1,500.00 ",$750.00 ,R,12,6,BiWeekly,$641.50 ,4/2/2018,4/13/2018,11,TRUE,1
1430,TX,"$2,500.00 ","$2,500.00 ",R,25,61,Monthly,$644.24 ,2/22/2018,3/25/2018,31,FALSE,0
1720,CA,"$10,000.00 ","$5,000.00 ",R,108,6,BiWeekly,$117.65 ,2/12/2018,2/27/2018,15,FALSE,0
1153,CA,"$2,510.00 ","$1,255.00 ",R,12,36,BiWeekly,$235.30 ,3/8/2018,3/16/2018,8,TRUE,1
1983,CA,"$1,200.00 ",$600.00 ,R,97,30,BiWeekly,$300.00 ,1/31/2018,2/20/2018,20,FALSE,0
490,TX,"$6,500.00 ","$3,250.00 ",R,12,6,BiWeekly,$642.32 ,4/2/2018,4/13/2018,11,TRUE,1
705,CA,"$5,000.00 ","$5,000.00 ",R,72,6,Monthly,$117.65 ,3/20/2018,3/30/2018,10,FALSE,0
247,CA,"$2,662.00 ","$1,331.00 ",R,330,36,BiWeekly,$300.00 ,4/3/2018,4/20/2018,17,FALSE,0
550,CA,"$5,000.00 ","$2,500.00 ",R,13,36,BiMonthly,$300.00 ,3/26/2018,4/6/2018,11,FALSE,0
412,CA,"$1,000.00 ","$1,000.00 ",R,12,6,Monthly,$117.65 ,4/4/2018,5/2/2018,28,FALSE,0
1071,CA,"$6,066.00 ","$3,033.00 ",R,135,30,BiWeekly,$235.30 ,3/6/2018,3/22/2018,16,TRUE,1
90,CA,"$3,624.00 ","$1,812.00 ",R,60,60,BiWeekly,$235.30 ,4/7/2018,4/26/2018,19,FALSE,0
520,CA,"$3,500.00 ","$1,750.00 ",R,12,36,Monthly,$235.30 ,3/26/2018,4/6/2018,11,TRUE,1
975,CA,"$1,500.00 ","$1,500.00 ",O,60,6,Monthly,$117.65 ,3/10/2018,4/4/2018,25,FALSE,0
1536,CA,"$3,900.00 ","$1,950.00 ",R,108,36,BiWeekly,$300.00 ,2/16/2018,3/9/2018,21,FALSE,0
1904,CA,"$8,000.00 ","$2,000.00 ",O,30,30,Weekly,$300.00 ,2/5/2018,2/16/2018,11,FALSE,0
116,CA,"$3,250.00 ","$1,625.00 ",R,24,24,BiWeekly,$235.30 ,4/6/2018,4/20/2018,14,TRUE,1
831,CA,"$5,000.00 ","$5,000.00 ",R,60,60,Monthly,$117.65 ,3/16/2018,4/10/2018,25,TRUE,1
1143,CA,"$4,000.00 ","$4,000.00 ",R,12,12,Monthly,$117.65 ,3/4/2018,3/21/2018,17,FALSE,0
861,TX,"$8,400.00 ","$4,200.00 ",R,29,54,BiWeekly,$641.09 ,3/15/2018,3/23/2018,8,FALSE,0
1454,TX,"$10,000.00 ","$5,000.00 ",O,96,6,BiWeekly,$642.19 ,2/21/2018,3/9/2018,16,TRUE,1
857,TX,"$6,000.00 ","$3,000.00 ",R,48,18,BiMonthly,$256.82 ,3/15/2018,3/30/2018,15,FALSE,0
1979,CA,"$1,444.00 ",$722.00 ,R,118,36,BiMonthly,$235.30 ,1/31/2018,2/28/2018,28,FALSE,0
1837,CA,"$10,000.00 ","$5,000.00 ",R,12,6,BiWeekly,$117.65 ,2/6/2018,2/23/2018,17,FALSE,0
611,CA,"$1,348.00 ",$674.00 ,R,104,36,BiWeekly,$300.00 ,3/23/2018,4/10/2018,18,FALSE,0
1056,CA,"$3,000.00 ","$3,000.00 ",R,12,18,Monthly,$117.65 ,3/7/2018,4/7/2018,31,FALSE,0
1827,TX,"$7,318.00 ","$3,659.00 ",R,83,36,BiWeekly,$641.23 ,2/7/2018,2/16/2018,9,FALSE,0
806,TX,"$10,000.00 ","$5,000.00 ",R,24,30,BiWeekly,$642.73 ,3/17/2018,4/6/2018,20,FALSE,0
370,CA,"$3,000.00 ","$1,500.00 ",R,300,36,BiWeekly,$300.00 ,3/31/2018,4/20/2018,20,FALSE,0
719,CA,"$1,876.00 ",$938.00 ,R,95,36,BiWeekly,$300.00 ,3/20/2018,3/30/2018,10,FALSE,0
997,CA,"$2,000.00 ","$1,000.00 ",R,173,36,BiWeekly,$294.13 ,3/9/2018,3/30/2018,21,FALSE,0
691,TX,"$3,500.00 ","$3,500.00 ",R,99,21,Monthly,$642.19 ,3/21/2018,4/6/2018,16,FALSE,0
796,CA,"$12,000.00 ","$12,000.00 ",R,50,36,Monthly,$117.65 ,3/18/2018,4/3/2018,16,FALSE,0
722,CA,"$10,000.00 ","$5,000.00 ",R,109,49,BiMonthly,$294.12 ,3/20/2018,3/30/2018,10,FALSE,0
368,TX,"$2,500.00 ","$1,250.00 ",R,12,60,BiWeekly,$641.78 ,3/31/2018,4/13/2018,13,FALSE,0
246,CA,"$1,000.00 ","$1,000.00 ",R,60,6,Monthly,$117.65 ,4/3/2018,5/1/2018,28,FALSE,0
118,CA,"$2,030.00 ","$1,015.00 ",R,36,36,BiWeekly,$300.00 ,4/6/2018,4/27/2018,21,FALSE,0
62,CA,"$2,240.00 ","$1,120.00 ",R,42,36,BiMonthly,$300.00 ,4/9/2018,4/20/2018,11,FALSE,0
710,TX,"$6,500.00 ","$6,500.00 ",R,36,30,Monthly,$644.24 ,3/20/2018,4/20/2018,31,TRUE,1
1123,TX,"$13,000.00 ","$6,500.00 ",R,108,18,BiWeekly,$385.47 ,3/5/2018,3/23/2018,18,TRUE,1
1807,CA,"$8,466.00 ","$4,233.00 ",R,23,36,BiWeekly,$300.00 ,2/8/2018,2/16/2018,8,FALSE,0
59,TX,"$5,000.00 ","$5,000.00 ",R,60,60,Monthly,$644.24 ,4/9/2018,5/10/2018,31,FALSE,0
446,CA,"$5,000.00 ","$5,000.00 ",R,12,6,Monthly,$117.65 ,3/28/2018,4/10/2018,13,FALSE,0
1306,CA,"$1,788.00 ",$894.00 ,R,156,36,BiWeekly,$300.00 ,2/27/2018,3/14/2018,15,FALSE,0
1055,TX,"$12,000.00 ","$6,000.00 ",R,60,36,BiMonthly,$641.23 ,3/7/2018,3/16/2018,9,FALSE,0
790,TX,"$8,666.00 ","$4,333.00 ",R,24,6,BiWeekly,$641.64 ,3/18/2018,3/30/2018,12,FALSE,0
680,TX,"$2,000.00 ","$2,000.00 ",O,108,6,Monthly,$386.30 ,3/21/2018,4/18/2018,28,FALSE,0
1764,CA,"$1,000.00 ","$1,000.00 ",R,47,3,Monthly,$300.00 ,2/12/2018,3/2/2018,18,TRUE,1
1516,TX,"$10,000.00 ","$5,000.00 ",O,96,6,BiWeekly,$642.46 ,2/19/2018,3/9/2018,18,TRUE,1
125,CA,"$1,692.00 ",$423.00 ,R,112,15,Weekly,$300.00 ,4/6/2018,4/20/2018,14,FALSE,0
764,CA,"$2,500.00 ","$2,500.00 ",R,87,36,Monthly,$300.00 ,3/19/2018,3/30/2018,11,FALSE,0
1205,CA,$897.00 ,$897.00 ,R,84,36,Monthly,$264.71 ,3/1/2018,3/28/2018,27,FALSE,0
1201,CA,"$3,168.00 ","$1,584.00 ",R,3,6,BiMonthly,$300.00 ,3/1/2018,3/15/2018,14,FALSE,0
357,CA,"$2,500.00 ","$2,500.00 ",O,12,6,Monthly,$117.65 ,4/11/2018,5/1/2018,20,FALSE,0
1170,CA,"$1,600.00 ",$400.00 ,R,18,36,Weekly,$300.00 ,3/5/2018,3/16/2018,11,TRUE,1
1836,CA,"$1,800.00 ",$900.00 ,R,114,36,BiMonthly,$205.88 ,2/6/2018,2/26/2018,20,FALSE,0
1938,CA,"$1,960.00 ",$980.00 ,O,194,36,BiWeekly,$300.00 ,2/2/2018,2/14/2018,12,FALSE,0
725,TX,"$2,500.00 ","$2,500.00 ",R,60,36,Monthly,$641.91 ,3/20/2018,4/3/2018,14,FALSE,0
1090,CA,"$6,600.00 ","$3,300.00 ",O,97,36,BiMonthly,$205.88 ,3/6/2018,3/20/2018,14,FALSE,0
148,CA,"$2,500.00 ","$1,250.00 ",R,36,6,BiWeekly,$117.65 ,4/6/2018,4/13/2018,7,FALSE,0
1366,CA,$890.00 ,$890.00 ,R,39,30,Monthly,$264.71 ,2/27/2018,3/29/2018,30,FALSE,0
1036,CA,"$3,000.00 ","$3,000.00 ",R,12,36,Monthly,$117.65 ,3/8/2018,3/30/2018,22,FALSE,0
1513,CA,"$5,000.00 ","$2,500.00 ",R,60,6,BiWeekly,$117.65 ,2/22/2018,3/2/2018,8,FALSE,0
1615,CA,"$1,286.00 ",$643.00 ,R,108,36,BiMonthly,$300.00 ,2/14/2018,3/2/2018,16,FALSE,0
1813,CA,"$13,000.00 ","$6,500.00 ",R,12,9,BiWeekly,$235.30 ,2/8/2018,2/23/2018,15,FALSE,0
1598,CA,"$1,431.00 ","$1,431.00 ",O,111,36,Monthly,$300.00 ,2/14/2018,3/16/2018,30,FALSE,0
1477,CA,"$3,200.00 ","$3,200.00 ",R,53,36,Monthly,$300.00 ,2/20/2018,3/9/2018,17,TRUE,1
1628,CA,"$2,500.00 ","$2,500.00 ",R,12,6,Monthly,$117.65 ,2/14/2018,3/2/2018,16,FALSE,0
409,TX,"$2,000.00 ","$1,000.00 ",R,36,60,BiWeekly,$320.54 ,4/12/2018,4/20/2018,8,FALSE,0
682,CA,"$2,660.00 ","$1,330.00 ",R,14,36,BiWeekly,$300.00 ,3/21/2018,4/9/2018,19,TRUE,1
1856,CA,"$1,430.00 ",$715.00 ,O,294,36,BiWeekly,$300.00 ,2/6/2018,2/16/2018,10,TRUE,1
1490,CA,"$3,000.00 ","$3,000.00 ",R,12,12,Monthly,$117.65 ,2/20/2018,3/5/2018,13,FALSE,0
613,CA,"$3,000.00 ","$3,000.00 ",R,48,6,Monthly,$117.65 ,3/23/2018,4/23/2018,31,TRUE,1
880,CA,"$4,500.00 ","$4,500.00 ",R,72,72,Monthly,$294.12 ,3/14/2018,3/30/2018,16,FALSE,0
384,CA,"$1,080.00 ",$540.00 ,R,70,36,BiWeekly,$300.00 ,3/30/2018,4/20/2018,21,FALSE,0
9,CA,"$2,500.00 ","$1,250.00 ",R,12,12,BiMonthly,$235.30 ,4/9/2018,4/23/2018,14,FALSE,0
741,TX,"$10,000.00 ","$5,000.00 ",R,12,30,BiWeekly,$641.50 ,3/19/2018,3/30/2018,11,FALSE,0
1246,TX,"$10,000.00 ","$5,000.00 ",R,12,6,BiWeekly,$642.60 ,3/2/2018,3/21/2018,19,FALSE,0
1608,CA,"$1,500.00 ","$1,500.00 ",O,96,6,Monthly,$300.00 ,2/14/2018,3/4/2018,18,TRUE,1
1528,CA,"$2,000.00 ",$500.00 ,R,86,12,Weekly,$300.00 ,2/20/2018,3/2/2018,10,FALSE,0
1865,CA,"$4,500.00 ","$4,500.00 ",R,72,24,Monthly,$235.30 ,2/5/2018,2/21/2018,16,FALSE,0
1117,CA,"$2,699.00 ","$2,699.00 ",O,120,36,Monthly,$300.00 ,3/5/2018,3/30/2018,25,FALSE,0
972,CA,"$2,500.00 ","$2,500.00 ",R,48,6,Monthly,$117.65 ,3/11/2018,4/6/2018,26,TRUE,1
1082,CA,"$1,620.00 ",$810.00 ,R,251,36,BiWeekly,$300.00 ,3/6/2018,3/16/2018,10,FALSE,0
903,CA,"$5,000.00 ","$5,000.00 ",R,24,24,Monthly,$235.30 ,3/14/2018,4/4/2018,21,FALSE,0
822,TX,"$10,000.00 ","$5,000.00 ",R,36,36,BiWeekly,$640.95 ,3/16/2018,3/23/2018,7,FALSE,0
1033,CA,"$2,590.00 ","$1,295.00 ",R,138,30,BiWeekly,$300.00 ,3/8/2018,3/16/2018,8,TRUE,1
1978,TX,"$3,625.00 ","$3,625.00 ",R,60,60,Monthly,$643.83 ,2/1/2018,2/28/2018,27,TRUE,1
1316,TX,"$12,000.00 ","$6,000.00 ",R,60,60,BiWeekly,$641.50 ,2/26/2018,3/9/2018,11,TRUE,1
26,CA,"$4,000.00 ","$2,000.00 ",R,60,12,BiMonthly,$235.30 ,4/9/2018,4/30/2018,21,TRUE,1
1815,CA,"$3,500.00 ","$3,500.00 ",R,108,6,Monthly,$117.65 ,2/8/2018,2/28/2018,20,FALSE,0
282,CA,"$1,239.00 ","$1,239.00 ",R,52,15,Monthly,$300.00 ,4/3/2018,5/3/2018,30,FALSE,0
1404,CA,"$5,000.00 ","$5,000.00 ",R,108,18,Monthly,$235.30 ,2/23/2018,3/14/2018,19,FALSE,0
1023,CA,"$4,858.00 ","$2,429.00 ",R,42,36,BiWeekly,$300.00 ,3/8/2018,3/23/2018,15,TRUE,1
1696,CA,"$1,578.00 ",$789.00 ,R,60,36,BiWeekly,$300.00 ,2/12/2018,2/23/2018,11,FALSE,0
1973,CA,"$2,192.00 ",$548.00 ,R,24,36,Weekly,$300.00 ,2/1/2018,2/14/2018,13,FALSE,0
1970,CA,"$4,500.00 ","$2,250.00 ",R,27,30,BiWeekly,$300.00 ,2/1/2018,2/9/2018,8,FALSE,0
772,CA,"$4,400.00 ","$2,200.00 ",R,27,80,BiWeekly,$235.30 ,3/19/2018,4/5/2018,17,FALSE,0
1545,CA,$800.00 ,$200.00 ,R,8,36,Weekly,$264.71 ,2/16/2018,2/23/2018,7,FALSE,0
1535,CA,"$1,780.00 ",$890.00 ,R,72,36,BiWeekly,$300.00 ,2/16/2018,3/9/2018,21,FALSE,0
1621,CA,"$1,431.00 ","$1,431.00 ",O,33,36,Monthly,$300.00 ,2/14/2018,3/14/2018,28,FALSE,0
1294,TX,"$10,000.00 ","$5,000.00 ",R,65,7,BiWeekly,$256.76 ,2/27/2018,3/13/2018,14,FALSE,0
106,TX,"$5,250.00 ","$2,625.00 ",R,24,6,BiMonthly,$642.46 ,4/7/2018,4/25/2018,18,FALSE,0
1324,CA,"$1,500.00 ","$1,500.00 ",O,0,6,Monthly,$117.65 ,2/28/2018,3/29/2018,29,TRUE,1
224,CA,"$1,836.00 ",$918.00 ,R,136,36,BiWeekly,$300.00 ,4/4/2018,4/17/2018,13,FALSE,0
1669,TX,"$9,000.00 ","$4,500.00 ",R,24,24,BiMonthly,$642.05 ,2/15/2018,2/28/2018,13,FALSE,0
164,CA,"$5,500.00 ","$2,750.00 ",R,24,24,BiMonthly,$235.30 ,4/5/2018,4/23/2018,18,FALSE,0
157,CA,"$5,000.00 ","$2,500.00 ",R,24,12,BiWeekly,$235.30 ,4/5/2018,4/20/2018,15,TRUE,1
1460,TX,"$7,000.00 ","$7,000.00 ",R,24,24,Monthly,$642.19 ,2/21/2018,3/9/2018,16,TRUE,1
479,CA,"$5,000.00 ","$5,000.00 ",R,36,30,Monthly,$117.65 ,3/27/2018,4/27/2018,31,FALSE,0
181,CA,"$3,314.00 ","$1,657.00 ",O,362,36,BiWeekly,$300.00 ,4/5/2018,4/20/2018,15,TRUE,1
1510,CA,"$3,000.00 ","$1,500.00 ",O,108,6,BiWeekly,$117.65 ,2/19/2018,3/2/2018,11,FALSE,0
39,CA,"$4,500.00 ","$2,250.00 ",R,48,12,BiWeekly,$235.30 ,4/11/2018,4/27/2018,16,FALSE,0
1504,CA,"$1,611.00 ","$1,611.00 ",R,44,36,Monthly,$300.00 ,2/21/2018,3/2/2018,9,FALSE,0
1834,TX,"$1,280.00 ",$640.00 ,R,36,3,BiWeekly,$256.53 ,2/6/2018,2/16/2018,10,TRUE,1
763,CA,"$5,000.00 ","$5,000.00 ",R,12,12,BiMonthly,$235.30 ,3/19/2018,4/2/2018,14,FALSE,0
131,CA,"$3,792.00 ","$1,896.00 ",R,24,12,BiWeekly,$117.65 ,4/6/2018,4/27/2018,21,TRUE,1
674,CA,"$3,000.00 ","$1,500.00 ",R,36,6,BiWeekly,$117.65 ,3/21/2018,4/6/2018,16,TRUE,1
180,TX,"$3,250.00 ","$1,625.00 ",R,24,24,BiWeekly,$642.05 ,4/5/2018,4/20/2018,15,TRUE,1
1208,TX,"$6,000.00 ","$6,000.00 ",O,184,36,Monthly,$643.83 ,3/1/2018,3/29/2018,28,TRUE,1
1127,TX,"$12,000.00 ","$6,000.00 ",R,60,36,BiMonthly,$641.50 ,3/5/2018,3/16/2018,11,TRUE,1
1599,CA,"$3,600.00 ","$1,800.00 ",R,13,36,BiWeekly,$300.00 ,2/14/2018,2/22/2018,8,FALSE,0
1763,CA,"$4,124.00 ","$4,124.00 ",R,35,30,Monthly,$300.00 ,2/15/2018,2/28/2018,13,FALSE,0
1068,CA,"$3,000.00 ","$1,500.00 ",R,12,6,BiWeekly,$117.65 ,3/7/2018,3/16/2018,9,TRUE,1
1406,CA,"$2,000.00 ","$2,000.00 ",R,36,36,Monthly,$235.30 ,2/22/2018,3/25/2018,31,TRUE,1
1996,CA,"$3,600.00 ","$1,800.00 ",R,66,36,BiWeekly,$300.00 ,1/31/2018,2/16/2018,16,FALSE,0
507,TX,"$3,000.00 ","$1,500.00 ",R,60,30,BiWeekly,$385.39 ,3/27/2018,4/13/2018,17,FALSE,0
311,CA,"$3,746.00 ","$1,873.00 ",O,244,36,BiMonthly,$300.00 ,4/2/2018,4/16/2018,14,FALSE,0
911,CA,"$7,250.00 ","$3,625.00 ",R,60,12,BiWeekly,$117.65 ,3/13/2018,3/28/2018,15,FALSE,0
1419,CA,"$5,000.00 ","$5,000.00 ",R,48,48,Monthly,$235.30 ,2/22/2018,3/25/2018,31,TRUE,1
184,TX,"$2,486.00 ","$2,486.00 ",R,60,12,Monthly,$386.05 ,4/5/2018,4/30/2018,25,FALSE,0
402,CA,"$1,280.00 ",$320.00 ,R,38,15,Weekly,$264.71 ,3/29/2018,4/6/2018,8,FALSE,0
481,TX,"$3,500.00 ","$3,500.00 ",R,12,6,Monthly,$644.24 ,3/27/2018,4/27/2018,31,FALSE,0
767,CA,"$3,200.00 ","$1,600.00 ",R,51,30,BiWeekly,$300.00 ,3/22/2018,4/6/2018,15,FALSE,0
1663,CA,"$3,332.00 ","$3,332.00 ",O,281,36,Monthly,$235.30 ,2/13/2018,2/26/2018,13,FALSE,0
1577,CA,"$2,000.00 ","$2,000.00 ",R,12,12,Monthly,$235.30 ,2/20/2018,3/1/2018,9,FALSE,0
943,CA,"$6,292.00 ","$1,573.00 ",O,21,30,Weekly,$300.00 ,3/12/2018,3/23/2018,11,FALSE,0
698,CA,"$5,000.00 ","$2,500.00 ",R,36,36,BiMonthly,$235.30 ,3/20/2018,4/4/2018,15,FALSE,0
107,TX,"$15,000.00 ","$7,500.00 ",R,36,6,BiMonthly,$642.32 ,4/11/2018,4/24/2018,13,TRUE,1
970,CA,"$7,000.00 ","$3,500.00 ",R,60,6,BiWeekly,$117.65 ,3/11/2018,3/22/2018,11,FALSE,0
1789,CA,"$2,200.00 ","$1,100.00 ",R,38,30,BiMonthly,$117.65 ,2/9/2018,2/28/2018,19,TRUE,1
